user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR1586303rbin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp002383105	GCA_002383105.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp002383105	99.26	0.8	GCA_002383105.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp002383105	99.26	0.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016649675.1, s__Methyloceanibacter sp016649675, 95.0, 89.09, 0.71; GCA_014380485.1, s__Methyloceanibacter sp014380485, 95.0, 81.57, 0.69; GCA_003135455.1, s__Methyloceanibacter sp003135455, 95.0, 81.02, 0.67; GCF_001723305.1, s__Methyloceanibacter superfactus, 95.0, 80.56, 0.67; GCA_016869535.1, s__Methyloceanibacter sp016869535, 95.0, 79.83, 0.6; GCF_001723295.1, s__Methyloceanibacter marginalis, 95.0, 79.41, 0.45; GCA_018067145.1, s__Methyloceanibacter sp018067145, 95.0, 78.5, 0.45; GCA_002390155.1, s__Methyloceanibacter sp002390155, 95.0, 78.4, 0.47; GCF_001723285.1, s__Methyloceanibacter methanicus, 95.0, 78.26, 0.41; GCF_003071365.1, s__Methyloceanibacter sp003071365, 95.0, 77.95, 0.38; GCA_002482645.1, s__Methyloceanibacter sp002482645, 95.0, 77.87, 0.42; GCF_000828475.1, s__Methyloceanibacter caenitepidi, 95.0, 77.84, 0.35; GCF_001723355.1, s__Methyloceanibacter stevinii, 95.0, 77.84, 0.38	94.02	11	N/A	N/A
SRR1586304rbin.1	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Palsa-872;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Palsa-872;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003139695.1, s__Palsa-872 sp003139695, 95.0, 84.58, 0.77; GCA_003151665.1, s__Palsa-872 sp003151665, 95.0, 84.53, 0.68; GCA_005880945.1, s__Palsa-872 sp005880945, 95.0, 80.06, 0.54	66.42	11	0.9797206641025784	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR1586304rbin.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719 sp002404345	GCA_002404345.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719 sp002404345	99.74	0.89	GCA_002404345.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719 sp002404345	99.74	0.89	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_014377705.1, s__UBA4719 sp014377705, 95.0, 82.71, 0.58; GCA_003132125.1, s__UBA4719 sp003132125, 95.0, 82.62, 0.51; GCA_012927555.1, s__UBA4719 sp012927555, 95.0, 82.48, 0.58; GCA_003157445.1, s__UBA4719 sp003157445, 95.0, 81.01, 0.44	87.79	11	N/A	N/A
SRR1586305rbin.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp002413395	GCA_002413395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp002413395	99.88	0.94	GCA_002413395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp002413395	99.88	0.94	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002381615.1, s__Polaromonas sp002381615, 95.0, 85.12, 0.59; GCF_000688115.1, s__Polaromonas sp000688115, 95.0, 83.8, 0.6; GCA_001770785.1, s__Polaromonas sp001770785, 95.0, 83.12, 0.5; GCF_001598235.1, s__Polaromonas jejuensis, 95.0, 81.33, 0.51; GCA_018780625.1, s__Polaromonas sp018780625, 95.0, 80.97, 0.46; GCA_012927455.1, s__Polaromonas sp012927455, 95.0, 80.6, 0.51; GCA_016000195.1, s__Polaromonas sp016000195, 95.0, 80.55, 0.45; GCF_000013865.1, s__Polaromonas sp000013865, 95.0, 80.55, 0.49; GCF_000015505.1, s__Polaromonas naphthalenivorans, 95.0, 80.51, 0.47; GCF_900112285.1, s__Polaromonas sp900112285, 95.0, 80.46, 0.45; GCF_900103405.1, s__Polaromonas sp900103405, 95.0, 80.15, 0.44; GCF_000282655.1, s__Polaromonas sp000282655, 95.0, 80.12, 0.43; GCF_003711205.1, s__Polaromonas sp003711205, 95.0, 80.08, 0.44; GCF_900116715.1, s__Polaromonas sp900116715, 95.0, 80.04, 0.43; GCA_010365105.1, s__Polaromonas sp010365105, 95.0, 79.98, 0.42; GCF_000709345.1, s__Polaromonas glacialis, 95.0, 79.9, 0.44; GCF_002379095.1, s__Polaromonas sp002379095, 95.0, 79.8, 0.44; GCF_002379085.1, s__Polaromonas sp002379085, 95.0, 79.8, 0.44; GCA_000751355.1, s__Polaromonas sp000751355, 95.0, 79.63, 0.42; GCA_012927415.1, s__Polaromonas sp012927415, 95.0, 79.62, 0.42; GCA_002278925.1, s__Polaromonas sp002278925, 95.0, 79.62, 0.44; GCA_012927485.1, s__Polaromonas sp012927485, 95.0, 79.49, 0.41; GCF_015752205.1, s__Polaromonas sp015752205, 95.0, 79.42, 0.4; GCA_014376885.1, s__Polaromonas sp014376885, 95.0, 79.36, 0.45; GCF_002001015.1, s__Polaromonas sp002001015, 95.0, 79.32, 0.37; GCA_903926695.1, s__Polaromonas sp903926695, 95.0, 79.16, 0.39; GCA_002256925.1, s__Polaromonas sp002256925, 95.0, 79.11, 0.4; GCA_013824015.1, s__Polaromonas sp013824015, 95.0, 79.05, 0.35; GCA_013817205.1, s__Polaromonas sp013817205, 95.0, 78.91, 0.35; GCF_014641715.1, s__Polaromonas eurypsychrophila, 95.0, 78.81, 0.37; GCA_016185115.1, s__Polaromonas sp016185115, 95.0, 78.56, 0.35; GCA_903941205.1, s__Polaromonas sp903941205, 95.0, 78.48, 0.25; GCA_004293655.1, s__Polaromonas sp004293655, 95.0, 78.24, 0.36; GCA_903844825.1, s__Polaromonas sp903844825, 95.0, 77.8, 0.23; GCA_013205645.1, s__Polaromonas sp013205645, 95.0, 77.28, 0.27; GCA_016868205.1, s__Polaromonas sp016868205, 95.0, 77.14, 0.17; GCF_012584515.1, s__Polaromonas vacuolata, 95.0, 76.98, 0.15	91.8	11	N/A	N/A
SRR1586309rbin.1	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__	N/A	N/A	N/A	N/A	N/A	GCA_004525275.1	95.0	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__SPCO01 sp004525275	79.11	0.39	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016200745.1, s__SPCO01 sp016200745, 95.0, 79.67, 0.47; GCA_013698385.1, s__SPCO01 sp013698385, 95.0, 78.7, 0.3	59.93	11	0.9426528695336299	N/A
SRR1586309rbin.15	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSGV01;f__DSGV01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011057325.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSGV01;f__DSGV01;g__DSGV01;s__DSGV01 sp011057325	75.94	0.09	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSGV01;f__DSGV01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	69.74	11	0.7301752615996719	N/A
SRR1586309rbin.2	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__UBA1547 sp002413425	GCA_002413425.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__UBA1547 sp002413425	99.9	0.98	GCA_002413425.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__UBA1547 sp002413425	99.9	0.98	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002429375.1, s__UBA1547 sp002429375, 95.0, 85.86, 0.71; GCA_014379635.1, s__UBA1547 sp014379635, 95.0, 82.38, 0.72; GCA_903832635.1, s__UBA1547 sp903832635, 95.0, 79.06, 0.08; GCA_002839415.1, s__UBA1547 sp002839415, 95.0, 78.38, 0.15; GCA_001873625.1, s__UBA1547 sp001873625, 95.0, 78.33, 0.15; GCA_903952435.1, s__UBA1547 sp903952435, 95.0, 78.24, 0.13; GCA_004322265.1, s__UBA1547 sp004322265, 95.0, 78.23, 0.15; GCA_903899655.1, s__UBA1547 sp903899655, 95.0, 78.21, 0.14; GCA_002427805.1, s__UBA1547 sp002427805, 95.0, 78.06, 0.16; GCA_903900345.1, s__UBA1547 sp903900345, 95.0, 78.0, 0.15; GCA_015655045.1, s__UBA1547 sp015655045, 95.0, 77.87, 0.2; GCA_013334475.1, s__UBA1547 sp013334475, 95.0, 77.62, 0.1; GCA_903844835.1, s__UBA1547 sp903844835, 95.0, 76.73, 0.11; GCA_903861015.1, s__UBA1547 sp903861015, 95.0, 76.67, 0.11; GCA_903889015.1, s__UBA1547 sp903889015, 95.0, 76.49, 0.1; GCA_903866605.1, s__UBA1547 sp903866605, 95.0, 76.44, 0.12	76.77	11	N/A	N/A
SRR1586311rbin.6	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp003131365	GCA_003131365.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp003131365	95.57	0.77	GCA_003134685.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp003134685	94.56	0.91	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	ANI	topological placement and ANI have incongruent species assignments	GCA_017881465.1, s__UBA4720 sp017881465, 95.0, 89.17, 0.8; GCA_017881545.1, s__UBA4720 sp017881545, 95.0, 85.42, 0.74; GCA_003223425.1, s__UBA4720 sp003223425, 95.0, 79.79, 0.57; GCA_002404375.1, s__UBA4720 sp002404375, 95.0, 79.61, 0.57; GCA_003221805.1, s__UBA4720 sp003221805, 95.0, 78.78, 0.5; GCA_013813605.1, s__UBA4720 sp013813605, 95.0, 77.96, 0.38; GCA_902812375.1, s__UBA4720 sp902812375, 95.0, 77.95, 0.33; GCA_013813715.1, s__UBA4720 sp013813715, 95.0, 77.23, 0.15; GCA_013816855.1, s__UBA4720 sp013816855, 95.0, 77.19, 0.2; GCA_017881685.1, s__UBA4720 sp017881685, 95.0, 77.0, 0.13; GCA_013816695.1, s__UBA4720 sp013816695, 95.0, 76.56, 0.08	85.7	11	N/A	N/A
SRR1586311rbin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	N/A	N/A	N/A	N/A	N/A	GCA_019240125.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__AP-15 sp019240125	78.3	0.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_005888515.1, s__AP-15 sp005888515, 95.0, 80.13, 0.42; GCA_005888425.1, s__AP-15 sp005888425, 95.0, 79.72, 0.41; GCA_019241915.1, s__AP-15 sp019241915, 95.0, 78.82, 0.44; GCA_005884825.1, s__AP-15 sp005884825, 95.0, 77.95, 0.29; GCA_019244535.1, s__AP-15 sp019244535, 95.0, 77.42, 0.33; GCA_019238055.1, s__AP-15 sp019238055, 95.0, 77.32, 0.29; GCA_019237135.1, s__AP-15 sp019237135, 95.0, 77.28, 0.23; GCA_019237175.1, s__AP-15 sp019237175, 95.0, 77.11, 0.21; GCA_017353855.1, s__AP-15 sp017353855, 95.0, 77.11, 0.27	75.44	11	0.9063930297266359	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR1586315rbin.5	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp002404375	GCA_002404375.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp002404375	99.59	0.94	GCA_002404375.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp002404375	99.59	0.94	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017881465.1, s__UBA4720 sp017881465, 95.0, 80.07, 0.6; GCA_003134685.1, s__UBA4720 sp003134685, 95.0, 79.87, 0.61; GCA_003131365.1, s__UBA4720 sp003131365, 95.0, 79.58, 0.5; GCA_017881545.1, s__UBA4720 sp017881545, 95.0, 79.4, 0.51; GCA_003221805.1, s__UBA4720 sp003221805, 95.0, 78.7, 0.42; GCA_003223425.1, s__UBA4720 sp003223425, 95.0, 78.54, 0.45; GCA_902812375.1, s__UBA4720 sp902812375, 95.0, 78.36, 0.37; GCA_013813605.1, s__UBA4720 sp013813605, 95.0, 77.79, 0.35; GCA_017881685.1, s__UBA4720 sp017881685, 95.0, 77.31, 0.12; GCA_013813715.1, s__UBA4720 sp013813715, 95.0, 77.23, 0.14; GCA_013816855.1, s__UBA4720 sp013816855, 95.0, 77.07, 0.2; GCA_013816695.1, s__UBA4720 sp013816695, 95.0, 76.85, 0.07	89.36	11	N/A	N/A
SRR1586316rbin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Rugosibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Rugosibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004322535.1, s__Rugosibacter sp004322535, 95.0, 86.68, 0.82; GCA_011620215.1, s__Rugosibacter sp011620215, 95.0, 86.18, 0.69; GCF_000934545.1, s__Rugosibacter aromaticivorans, 95.0, 84.11, 0.84; GCA_002422995.1, s__Rugosibacter sp002422995, 95.0, 79.56, 0.32; GCA_002424865.1, s__Rugosibacter sp002424865, 95.0, 79.29, 0.49; GCA_016235025.1, s__Rugosibacter sp016235025, 95.0, 77.82, 0.23; GCA_002842395.1, s__Rugosibacter sp002842395, 95.0, 76.84, 0.19	92.67	11	0.9872117606402561	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR1586317rbin.10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp002429455	GCA_002429455.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp002429455	99.58	0.88	GCA_002429455.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__Methylotenera sp002429455	99.58	0.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903854305.1, s__Methylotenera sp903854305, 95.0, 78.81, 0.41; GCA_903882525.1, s__Methylotenera sp903882525, 95.0, 78.5, 0.36; GCA_009693255.1, s__Methylotenera sp009693255, 95.0, 78.49, 0.42; GCA_903846555.1, s__Methylotenera sp903846555, 95.0, 78.43, 0.35; GCA_903860085.1, s__Methylotenera sp903860085, 95.0, 78.36, 0.34; GCA_903838125.1, s__Methylotenera sp903838125, 95.0, 78.35, 0.34; GCF_000093025.1, s__Methylotenera versatilis, 95.0, 78.34, 0.33; GCA_903926935.1, s__Methylotenera sp903926935, 95.0, 78.32, 0.33; GCA_013141495.1, s__Methylotenera sp013141495, 95.0, 78.29, 0.3; GCA_903833595.1, s__Methylotenera sp903833595, 95.0, 78.28, 0.3; GCA_001803395.1, s__Methylotenera sp001803395, 95.0, 78.2, 0.38; GCA_014378495.1, s__Methylotenera sp014378495, 95.0, 78.13, 0.31; GCA_013816325.1, s__Methylotenera sp013816325, 95.0, 78.13, 0.27; GCA_002842195.1, s__Methylotenera sp002842195, 95.0, 78.11, 0.32; GCA_013141075.1, s__Methylotenera sp013141075, 95.0, 78.1, 0.27; GCF_000023705.1, s__Methylotenera mobilis, 95.0, 78.08, 0.21; GCA_002281815.1, s__Methylotenera sp002281815, 95.0, 78.0, 0.27; GCF_000384255.1, s__Methylotenera mobilis_B, 95.0, 77.92, 0.21; GCF_004661485.1, s__Methylotenera sp004661485, 95.0, 77.9, 0.22; GCF_000744605.1, s__Methylotenera sp000744605, 95.0, 77.76, 0.22; GCA_903876765.1, s__Methylotenera sp903876765, 95.0, 77.71, 0.29; GCA_002928535.1, s__Methylotenera sp002928535, 95.0, 77.64, 0.19; GCA_013141425.1, s__Methylotenera sp013141425, 95.0, 77.63, 0.26; GCA_016867975.1, s__Methylotenera sp016867975, 95.0, 77.63, 0.16; GCA_013140755.1, s__Methylotenera sp013140755, 95.0, 77.59, 0.19; GCA_903951385.1, s__Methylotenera sp903951385, 95.0, 77.56, 0.23; GCF_000799735.1, s__Methylotenera sp000799735, 95.0, 77.49, 0.18; GCA_005777825.1, s__Methylotenera sp005777825, 95.0, 77.46, 0.18; GCA_002842285.1, s__Methylotenera sp002842285, 95.0, 77.46, 0.16; GCA_005791685.1, s__Methylotenera sp005791685, 95.0, 76.78, 0.24	84.31	11	N/A	N/A
SRR1586317rbin.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia sp002428015	GCA_002428015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia sp002428015	99.94	0.96	GCA_002428015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia sp002428015	99.94	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003953935.1, s__Massilia atriviolacea, 95.0, 83.14, 0.58; GCF_011682145.1, s__Massilia mucilaginosa, 95.0, 82.73, 0.57; GCF_002752675.1, s__Massilia violaceinigra, 95.0, 82.67, 0.54; GCF_002760655.1, s__Massilia eurypsychrophila, 95.0, 82.65, 0.51; GCF_011682045.1, s__Massilia aquatica, 95.0, 82.56, 0.57; GCF_003011895.2, s__Massilia glaciei, 95.0, 82.55, 0.49; GCF_011682175.1, s__Massilia frigida, 95.0, 82.53, 0.56; GCF_015689335.1, s__Massilia sp001485665, 95.0, 82.5, 0.57; GCA_003520365.1, s__Massilia sp003520365, 95.0, 82.49, 0.62; GCF_011682065.1, s__Massilia rubra, 95.0, 82.48, 0.57; GCF_003590855.1, s__Massilia sp003590855, 95.0, 82.43, 0.51; GCA_003484545.1, s__Massilia sp003484545, 95.0, 82.25, 0.61; GCF_012927275.1, s__Massilia sp012927275, 95.0, 82.19, 0.6; GCF_018119405.1, s__Massilia sp018119405, 95.0, 82.18, 0.56; GCF_002760665.1, s__Massilia psychrophila, 95.0, 82.14, 0.57; GCA_002354135.1, s__Massilia sp002354135, 95.0, 82.12, 0.59; GCF_002007115.1, s__Massilia sp002007115, 95.0, 82.11, 0.52; GCF_000382345.1, s__Massilia niastensis, 95.0, 82.1, 0.49; GCF_018119395.1, s__Massilia sp018119395, 95.0, 81.95, 0.54; GCF_000427785.1, s__Massilia alkalitolerans, 95.0, 81.8, 0.49; GCA_015277795.1, s__Massilia sp015277795, 95.0, 81.71, 0.52; GCF_900112225.1, s__Massilia yuzhufengensis, 95.0, 81.63, 0.52; GCF_902506415.1, s__Massilia sp902506415, 95.0, 81.62, 0.52; GCF_000745265.1, s__Massilia sp000745265, 95.0, 81.57, 0.5; GCF_001412595.2, s__Massilia sp001412595, 95.0, 81.55, 0.5; GCF_000315425.1, s__Massilia timonae, 95.0, 81.54, 0.48; GCF_000740675.1, s__Massilia sp000740675, 95.0, 81.53, 0.52; GCF_012849555.1, s__Massilia sp012849555, 95.0, 81.51, 0.52; GCF_004614195.1, s__Massilia horti, 95.0, 81.51, 0.48; GCF_006715485.1, s__Massilia sp006715485, 95.0, 81.41, 0.51; GCF_001424165.1, s__Massilia sp001424165, 95.0, 81.34, 0.5; GCF_013003915.1, s__Massilia aromaticivorans, 95.0, 81.34, 0.52; GCF_017582745.1, s__Massilia oculi, 95.0, 81.32, 0.47; GCF_004798585.1, s__Massilia sp004798585, 95.0, 81.24, 0.49; GCF_005222695.1, s__Massilia sp005222695, 95.0, 81.21, 0.47; GCF_015101885.1, s__Massilia sp015101885, 95.0, 81.19, 0.5; GCF_014842025.1, s__Massilia sp014842025, 95.0, 81.17, 0.47; GCF_003719535.1, s__Massilia aurea_A, 95.0, 81.12, 0.48; GCF_004614185.1, s__Massilia arenosa, 95.0, 81.05, 0.51; GCF_014171595.1, s__Massilia sp014171595, 95.0, 80.99, 0.49; GCA_002339265.1, s__Massilia sp002339265, 95.0, 80.96, 0.48; GCF_900129765.1, s__Massilia sp900129765, 95.0, 80.94, 0.47; GCF_016093545.1, s__Massilia sp016093545, 95.0, 80.62, 0.52; GCF_001425685.1, s__Massilia sp001425685, 95.0, 80.59, 0.53; GCA_014841835.1, s__Massilia sp014841835, 95.0, 80.52, 0.43; GCA_014841595.1, s__Massilia sp014841595, 95.0, 80.42, 0.45; GCF_001941825.1, s__Massilia putida, 95.0, 80.39, 0.51; GCF_001426525.1, s__Massilia sp001426525, 95.0, 80.32, 0.52; GCF_002968015.1, s__Massilia phosphatilytica, 95.0, 80.27, 0.51; GCF_014200505.1, s__Massilia aurea_B, 95.0, 80.27, 0.46; GCF_000759615.1, s__Massilia sp000759615, 95.0, 80.22, 0.52; GCF_900101265.1, s__Massilia sp900101265, 95.0, 80.15, 0.51; GCF_011682055.1, s__Massilia sp011682055, 95.0, 80.06, 0.5	89.79	11	N/A	N/A
SRR1586317rbin.2	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	N/A	N/A	N/A	N/A	N/A	GCA_002404375.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp002404375	85.75	0.74	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017881465.1, s__UBA4720 sp017881465, 95.0, 80.65, 0.6; GCA_003134685.1, s__UBA4720 sp003134685, 95.0, 80.19, 0.66; GCA_017881545.1, s__UBA4720 sp017881545, 95.0, 79.99, 0.48; GCA_003131365.1, s__UBA4720 sp003131365, 95.0, 79.86, 0.57; GCA_902812375.1, s__UBA4720 sp902812375, 95.0, 78.88, 0.41; GCA_003221805.1, s__UBA4720 sp003221805, 95.0, 78.7, 0.48; GCA_003223425.1, s__UBA4720 sp003223425, 95.0, 78.61, 0.41; GCA_013813605.1, s__UBA4720 sp013813605, 95.0, 77.7, 0.29; GCA_013816855.1, s__UBA4720 sp013816855, 95.0, 77.25, 0.19; GCA_017881685.1, s__UBA4720 sp017881685, 95.0, 77.11, 0.14; GCA_013813715.1, s__UBA4720 sp013813715, 95.0, 77.11, 0.17; GCA_013816695.1, s__UBA4720 sp013816695, 95.0, 76.34, 0.07	70.06	11	0.9814643890675534	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
