Genome Name,Study,Sample Name,Assembler,Genome Size,N50,# Contigs,Completeness,Contamination,Strain Heterogeneity,SGB ID
CM_madagascar__A01_02_1FE__bin.19,CM_madagascar,A01_02_1FE,metaSPAdes,2173218,30073,111,83.8845727,0.377358491,0.0246161,2071
CM_madagascar__A01_02_1FE__bin.2,CM_madagascar,A01_02_1FE,metaSPAdes,2500823,52181,63,96.33136095,1.380670611,0.00466,15447
CM_madagascar__A01_02_1FE__bin.20,CM_madagascar,A01_02_1FE,metaSPAdes,1949250,6627,374,85.52325794,0.659219002,0.0449405,4933
CM_madagascar__A01_02_1FE__bin.21,CM_madagascar,A01_02_1FE,metaSPAdes,2414635,23197,150,82.5,0,0.153626,15291
CM_madagascar__A01_02_1FE__bin.25,CM_madagascar,A01_02_1FE,metaSPAdes,2361239,37304,107,95.96774194,4.838709677,0.0786212,14815
CM_madagascar__A01_02_1FE__bin.26,CM_madagascar,A01_02_1FE,metaSPAdes,1791342,6224,348,54.31034483,0,0.0310433,1472
CM_madagascar__A01_02_1FE__bin.28,CM_madagascar,A01_02_1FE,metaSPAdes,3237475,19453,291,97.99114332,3.743961353,0.1569767,4925
CM_madagascar__A01_02_1FE__bin.29,CM_madagascar,A01_02_1FE,metaSPAdes,2029172,8148,322,84.59802103,0.773036487,0.348951,15300
CM_madagascar__A01_02_1FE__bin.3,CM_madagascar,A01_02_1FE,metaSPAdes,3806043,62557,111,85.25604686,0.13640873,0.0291002,10068
CM_madagascar__A01_02_1FE__bin.34,CM_madagascar,A01_02_1FE,metaSPAdes,1553070,67351,38,98.87640449,1.123595506,0,1024
CM_madagascar__A01_02_1FE__bin.4,CM_madagascar,A01_02_1FE,metaSPAdes,1562688,3780,453,70.14973561,0.111856823,0.1753835,5111
CM_madagascar__A02_01_1FE__bin.10,CM_madagascar,A02_01_1FE,metaSPAdes,2395224,146906,45,98.23529412,0.294117647,0.0124524,3677
CM_madagascar__A02_01_1FE__bin.4,CM_madagascar,A02_01_1FE,metaSPAdes,2068218,11228,246,98.13618507,1.265822785,0.0772866,5809
CM_madagascar__A02_01_1FE__bin.5,CM_madagascar,A02_01_1FE,metaSPAdes,1895198,15364,186,98.02272727,1.064505348,0.349254,9701
CM_madagascar__A02_01_1FE__bin.6,CM_madagascar,A02_01_1FE,metaSPAdes,2044177,4185,559,75.03092146,0.021258503,0.5649782,15300
CM_madagascar__A02_01_1FE__bin.7,CM_madagascar,A02_01_1FE,metaSPAdes,4400080,60799,120,98.00760582,0.055803571,0.0237045,10068
CM_madagascar__A03_01_1FE__bin.2,CM_madagascar,A03_01_1FE,metaSPAdes,2976536,5254,687,78.67945151,4.224313599,0.6442529,1626
CM_madagascar__A03_01_1FE__bin.3,CM_madagascar,A03_01_1FE,metaSPAdes,2285134,55014,57,99.37908497,0.294117647,0.00908,3677
CM_madagascar__A03_01_1FE__bin.4,CM_madagascar,A03_01_1FE,metaSPAdes,1780055,7188,320,82.90598291,1.709401709,0.0598763,8653
CM_madagascar__A04_01_1FE__bin.2,CM_madagascar,A04_01_1FE,metaSPAdes,1303195,3950,364,68.86719544,0.020973154,0.1250247,4289
CM_madagascar__A04_01_1FE__bin.22,CM_madagascar,A04_01_1FE,metaSPAdes,1666136,10751,226,94.32624113,0.354609929,0.072846,3926
CM_madagascar__A04_01_1FE__bin.26,CM_madagascar,A04_01_1FE,metaSPAdes,1987377,10497,266,82.71812081,1.006711409,0.1893039,5111
CM_madagascar__A04_01_1FE__bin.27,CM_madagascar,A04_01_1FE,metaSPAdes,1907002,5658,422,84.10679374,3.091397849,0.8369556,14427
CM_madagascar__A04_01_1FE__bin.28,CM_madagascar,A04_01_1FE,metaSPAdes,2795287,34591,131,96.08190628,0.432098765,0.0643943,1676
CM_madagascar__A04_01_1FE__bin.29,CM_madagascar,A04_01_1FE,metaSPAdes,1975964,12481,228,94.36458333,0.677083333,0.0942577,9273
CM_madagascar__A04_01_1FE__bin.3,CM_madagascar,A04_01_1FE,metaSPAdes,2504596,7084,459,97.10701485,2.804659498,0.1053558,6191
CM_madagascar__A04_01_1FE__bin.30,CM_madagascar,A04_01_1FE,metaSPAdes,2274284,135647,41,98.23529412,0.882352941,0.0111954,3677
CM_madagascar__A04_01_1FE__bin.32,CM_madagascar,A04_01_1FE,metaSPAdes,2068488,25478,142,93.67088608,0.632911392,0.0108998,5809
CM_madagascar__A04_01_1FE__bin.35,CM_madagascar,A04_01_1FE,metaSPAdes,2355769,21012,184,95.44378698,1.380670611,0.0341577,15447
CM_madagascar__A04_01_1FE__bin.37,CM_madagascar,A04_01_1FE,metaSPAdes,1847776,72807,49,87.17948718,0.854700855,0.000915,8640
CM_madagascar__A04_01_1FE__bin.4,CM_madagascar,A04_01_1FE,metaSPAdes,1950974,8954,308,87.81904187,1.127214171,0.1888093,4933
CM_madagascar__A04_01_1FE__bin.40,CM_madagascar,A04_01_1FE,metaSPAdes,1663606,3126,555,54.34807256,1.806972789,2.0365619,15286
CM_madagascar__A04_01_1FE__bin.44,CM_madagascar,A04_01_1FE,metaSPAdes,3979966,19165,306,96.94609788,0.334821429,0.2148548,10068
CM_madagascar__A04_01_1FE__bin.45,CM_madagascar,A04_01_1FE,metaSPAdes,2069397,8110,328,93.39622642,2.830188679,0.1732764,6783
CM_madagascar__A04_01_1FE__bin.46,CM_madagascar,A04_01_1FE,metaSPAdes,1320390,3672,396,62.06896552,1.724137931,0.1393387,4212
CM_madagascar__A04_01_1FE__bin.50,CM_madagascar,A04_01_1FE,metaSPAdes,1752481,5989,362,81.72335601,4.761904762,0.0744958,6836
CM_madagascar__A04_01_1FE__bin.6,CM_madagascar,A04_01_1FE,metaSPAdes,1777546,5526,384,54.31034483,0,0.115676,1657
CM_madagascar__A04_01_1FE__bin.8,CM_madagascar,A04_01_1FE,metaSPAdes,1404070,19617,108,88.76404494,1.123595506,0.00977,1024
CM_madagascar__A04_01_1FE__bin.9,CM_madagascar,A04_01_1FE,metaSPAdes,2257116,18544,171,91.52622883,0,0.00924,1475
CM_madagascar__A04_04_1FE__bin.13,CM_madagascar,A04_04_1FE,metaSPAdes,2482538,5839,524,75.37587774,2.416356877,0.0822914,1883
CM_madagascar__A04_04_1FE__bin.15,CM_madagascar,A04_04_1FE,metaSPAdes,1982122,6802,359,72.3510467,1.014492754,0.5408033,4909
CM_madagascar__A04_04_1FE__bin.17,CM_madagascar,A04_04_1FE,metaSPAdes,2221419,6567,448,84.08884766,4.449598021,0.9172208,15300
CM_madagascar__A04_04_1FE__bin.2,CM_madagascar,A04_04_1FE,metaSPAdes,2708815,9470,382,87.2649415,4.208028561,0.1905402,4882
CM_madagascar__A04_04_1FE__bin.21,CM_madagascar,A04_04_1FE,metaSPAdes,2742697,25088,179,82.64456836,1.635687732,0.1028394,1672
CM_madagascar__A04_04_1FE__bin.25,CM_madagascar,A04_04_1FE,metaSPAdes,2397976,61409,57,97.12797026,1.851851852,0.0311946,1679
CM_madagascar__A04_04_1FE__bin.26,CM_madagascar,A04_04_1FE,metaSPAdes,1499341,5172,342,76.38911721,0.632911392,0.4110071,5809
CM_madagascar__A04_04_1FE__bin.27,CM_madagascar,A04_04_1FE,metaSPAdes,2191383,5518,480,72.87301587,1.984126984,0.0432572,2240
CM_madagascar__A04_04_1FE__bin.3,CM_madagascar,A04_04_1FE,metaSPAdes,2793663,25737,155,93.61728395,0.37037037,0.0372644,1676
CM_madagascar__A04_04_1FE__bin.32,CM_madagascar,A04_04_1FE,metaSPAdes,2352825,56779,68,98.20261438,0.882352941,0.0096,3677
CM_madagascar__A04_04_1FE__bin.33,CM_madagascar,A04_04_1FE,metaSPAdes,1793107,11360,220,92.58694326,0.33557047,0.0244256,4330
CM_madagascar__A04_04_1FE__bin.34,CM_madagascar,A04_04_1FE,metaSPAdes,1795607,14421,176,86.15984405,1.423849479,0.2904915,4582
CM_madagascar__A04_04_1FE__bin.36,CM_madagascar,A04_04_1FE,metaSPAdes,2161622,17367,185,93.24881468,0.680272109,0.3655082,15285
CM_madagascar__A04_04_1FE__bin.37,CM_madagascar,A04_04_1FE,metaSPAdes,1878289,10706,227,82.15883669,2.74049217,0.2196912,15119
CM_madagascar__A04_04_1FE__bin.41,CM_madagascar,A04_04_1FE,metaSPAdes,2787444,41742,95,94.84401965,1.676622859,0.0375913,1677
CM_madagascar__A04_04_1FE__bin.43,CM_madagascar,A04_04_1FE,metaSPAdes,2500297,23934,148,65.38371599,0.297619048,0.1559806,10068
CM_madagascar__A04_04_1FE__bin.47,CM_madagascar,A04_04_1FE,metaSPAdes,1371973,24941,77,62.06896552,0,0.0159105,3668
CM_madagascar__A04_04_1FE__bin.51,CM_madagascar,A04_04_1FE,metaSPAdes,2243629,37519,109,98.75776398,0.621118012,0.0103411,9286
CM_madagascar__A04_04_1FE__bin.54,CM_madagascar,A04_04_1FE,metaSPAdes,2453846,22375,181,92.16232962,0,0.0130283,1475
CM_madagascar__A04_04_1FE__bin.55,CM_madagascar,A04_04_1FE,metaSPAdes,1919971,4737,462,75.28326746,1.014492754,0.1870788,4929
CM_madagascar__A04_04_1FE__bin.6,CM_madagascar,A04_04_1FE,metaSPAdes,2239408,3489,686,81.86666667,0,0.2970619,5967
CM_madagascar__A04_04_1FE__bin.60,CM_madagascar,A04_04_1FE,metaSPAdes,2134729,14666,209,91.39784946,0.806451613,0.413222,14427
CM_madagascar__A04_04_1FE__bin.62,CM_madagascar,A04_04_1FE,metaSPAdes,2068564,10290,276,88.52153784,0.241545894,0.3099017,4933
CM_madagascar__A04_04_1FE__bin.63,CM_madagascar,A04_04_1FE,metaSPAdes,1804395,26849,102,65.19103676,0.046468401,0.00768,1472
CM_madagascar__A04_04_1FE__bin.64,CM_madagascar,A04_04_1FE,metaSPAdes,1867050,17692,164,88.03418803,1.709401709,0.0146585,8645
CM_madagascar__A04_04_1FE__bin.67,CM_madagascar,A04_04_1FE,metaSPAdes,1720134,2868,620,55.46398046,2.136752137,0.1209714,15452
CM_madagascar__A04_04_1FE__bin.7,CM_madagascar,A04_04_1FE,metaSPAdes,1248341,3196,420,58.24283099,0.67114094,0.8062692,15022
CM_madagascar__A06_01_1FE__bin.1,CM_madagascar,A06_01_1FE,metaSPAdes,2178922,3661,636,53.05642633,0,0.6714306,1626
CM_madagascar__A07_01_1FE__bin.12,CM_madagascar,A07_01_1FE,metaSPAdes,2511850,23123,159,95.60961969,0.223713647,0.1378601,5089
CM_madagascar__A07_01_1FE__bin.14,CM_madagascar,A07_01_1FE,metaSPAdes,1604421,6729,305,54.46428571,1.785714286,0.8621726,15346
CM_madagascar__A07_01_1FE__bin.16,CM_madagascar,A07_01_1FE,metaSPAdes,1449715,11535,195,87.70833333,1.375,0.0474825,9243
CM_madagascar__A07_01_1FE__bin.19,CM_madagascar,A07_01_1FE,metaSPAdes,2068577,9440,308,88.69127517,1.342281879,0.4505215,15022
CM_madagascar__A07_01_1FE__bin.2,CM_madagascar,A07_01_1FE,metaSPAdes,2817714,65226,83,97.98657718,0,0.0521315,5082
CM_madagascar__A07_01_1FE__bin.20,CM_madagascar,A07_01_1FE,metaSPAdes,2533330,8872,373,87.22265355,4.822866345,0.3949456,4909
CM_madagascar__A07_01_1FE__bin.21,CM_madagascar,A07_01_1FE,metaSPAdes,2415702,11056,308,90.15520134,3.355704698,0.1866735,5077
CM_madagascar__A07_01_1FE__bin.23,CM_madagascar,A07_01_1FE,metaSPAdes,2167698,11075,284,66.07142857,0,0.486013,15291
CM_madagascar__A07_01_1FE__bin.25,CM_madagascar,A07_01_1FE,metaSPAdes,784036,2808,287,55.28850968,0,0.1811061,19694
CM_madagascar__A07_01_1FE__bin.28,CM_madagascar,A07_01_1FE,metaSPAdes,2641552,61256,68,92.96296296,1.449275362,0.0342743,4900
CM_madagascar__A07_01_1FE__bin.34,CM_madagascar,A07_01_1FE,metaSPAdes,1463999,11383,165,73.25643177,0.976840553,0.05443,6313
CM_madagascar__A07_01_1FE__bin.36,CM_madagascar,A07_01_1FE,metaSPAdes,3173083,40374,154,68.44827586,0,0.0822143,1614
CM_madagascar__A07_01_1FE__bin.37,CM_madagascar,A07_01_1FE,metaSPAdes,2179019,11090,269,92.61744966,0.447427293,0.0368707,4198
CM_madagascar__A07_01_1FE__bin.38,CM_madagascar,A07_01_1FE,metaSPAdes,2095140,23225,139,92.53826531,0,0.1123217,15287
CM_madagascar__A07_01_1FE__bin.41,CM_madagascar,A07_01_1FE,metaSPAdes,2062756,41212,77,94.63087248,1.006711409,0.0101447,4290
CM_madagascar__A07_01_1FE__bin.42,CM_madagascar,A07_01_1FE,metaSPAdes,1946399,26096,142,92.37536657,2.822580645,0.3272219,14420
CM_madagascar__A07_01_1FE__bin.44,CM_madagascar,A07_01_1FE,metaSPAdes,2717059,93175,45,96.74603175,1.587301587,0.0136392,2227
CM_madagascar__A07_01_1FE__bin.45,CM_madagascar,A07_01_1FE,metaSPAdes,1319208,50723,37,55.33253842,0,0.0384831,1701
CM_madagascar__A07_01_1FE__bin.46,CM_madagascar,A07_01_1FE,metaSPAdes,2248431,18300,181,95.63758389,0.67114094,0.0603212,5115
CM_madagascar__A07_01_1FE__bin.47,CM_madagascar,A07_01_1FE,metaSPAdes,2377222,58584,69,95.73268921,1.207729469,0.0498499,4933
CM_madagascar__A07_01_1FE__bin.50,CM_madagascar,A07_01_1FE,metaSPAdes,1581349,5706,348,67.25333041,0.326662066,0.2821846,4938
CM_madagascar__A07_01_1FE__bin.52,CM_madagascar,A07_01_1FE,metaSPAdes,1348207,12994,131,88.77506059,0,0.2156664,19692
CM_madagascar__A07_01_1FE__bin.58,CM_madagascar,A07_01_1FE,metaSPAdes,1253738,3530,384,61.53605016,1.724137931,0.136792,4330
CM_madagascar__A07_01_1FE__bin.60,CM_madagascar,A07_01_1FE,metaSPAdes,1462007,9879,194,93.6,0,0.0132904,714
CM_madagascar__A07_01_1FE__bin.65,CM_madagascar,A07_01_1FE,metaSPAdes,2282709,21541,183,93.87755102,0.680272109,0.2086808,15332
CM_madagascar__A07_01_1FE__bin.68,CM_madagascar,A07_01_1FE,metaSPAdes,1359427,3032,470,50.52800476,1.775147929,0.334544,15467
CM_madagascar__A07_01_1FE__bin.69,CM_madagascar,A07_01_1FE,metaSPAdes,2900347,26317,179,97.0521542,1.360544218,0.0360402,15286
CM_madagascar__A07_01_1FE__bin.70,CM_madagascar,A07_01_1FE,metaSPAdes,2123059,16921,175,97.46835443,0.632911392,0.0064,5809
CM_madagascar__A07_01_1FE__bin.9,CM_madagascar,A07_01_1FE,metaSPAdes,960720,17852,96,62.57410515,1.062639821,0.0698482,6289
CM_madagascar__A08_01_1FE__bin.10,CM_madagascar,A08_01_1FE,metaSPAdes,1358280,6223,291,51.20689655,0,0.5408009,15356
CM_madagascar__A08_01_1FE__bin.11,CM_madagascar,A08_01_1FE,metaSPAdes,2231687,6656,422,78.30246914,1.234567901,0.1135678,1676
CM_madagascar__A08_01_1FE__bin.16,CM_madagascar,A08_01_1FE,metaSPAdes,1456622,3379,464,64.65053763,1.209677419,0.2870188,13978
CM_madagascar__A08_01_1FE__bin.17,CM_madagascar,A08_01_1FE,metaSPAdes,1949733,7154,369,95.97315436,0.559284116,0.00644,4272
CM_madagascar__A08_01_1FE__bin.18,CM_madagascar,A08_01_1FE,metaSPAdes,1780822,3464,537,61.45575655,0.963718821,1.0513177,15300
CM_madagascar__A08_01_1FE__bin.2,CM_madagascar,A08_01_1FE,metaSPAdes,3052036,17137,260,88.67724868,0.238095238,0.0492505,2241
CM_madagascar__A08_01_1FE__bin.20,CM_madagascar,A08_01_1FE,metaSPAdes,1576042,4743,389,76.51515152,3.187919463,0.3585869,4394
CM_madagascar__A08_01_1FE__bin.21,CM_madagascar,A08_01_1FE,metaSPAdes,1320883,3822,388,77.85087719,1.612903226,0.1449053,376
CM_madagascar__A08_01_1FE__bin.24,CM_madagascar,A08_01_1FE,metaSPAdes,1429451,4095,401,75.83778191,1.19760479,0.0869632,5772
CM_madagascar__A08_01_1FE__bin.25,CM_madagascar,A08_01_1FE,metaSPAdes,2264191,74966,50,98.38709677,0.806451613,0.0241548,14313
CM_madagascar__A08_01_1FE__bin.27,CM_madagascar,A08_01_1FE,metaSPAdes,1912441,23180,134,90.84224599,1.136363636,0.0108416,17345
CM_madagascar__A08_01_1FE__bin.28,CM_madagascar,A08_01_1FE,metaSPAdes,1645670,12211,206,87.14904922,4.865771812,0.8517399,15256
CM_madagascar__A08_01_1FE__bin.29,CM_madagascar,A08_01_1FE,metaSPAdes,1537954,64012,44,92.40238928,0.699300699,0.00764,13976
CM_madagascar__A08_01_1FE__bin.3,CM_madagascar,A08_01_1FE,metaSPAdes,1932075,5658,439,87.64568765,0.724275724,0.023681,3546
CM_madagascar__A08_01_1FE__bin.30,CM_madagascar,A08_01_1FE,metaSPAdes,836483,71266,24,82.51748252,1.098901099,0.0116175,17319
CM_madagascar__A08_01_1FE__bin.31,CM_madagascar,A08_01_1FE,metaSPAdes,2218248,42422,108,95.97315436,0,0.0431618,5065
CM_madagascar__A08_01_1FE__bin.33,CM_madagascar,A08_01_1FE,metaSPAdes,2949349,36386,196,92.76286353,0.894854586,0.0971952,14256
CM_madagascar__A08_01_1FE__bin.34,CM_madagascar,A08_01_1FE,metaSPAdes,2089228,40561,131,93.84787472,0,0.0870723,14209
CM_madagascar__A08_01_1FE__bin.36,CM_madagascar,A08_01_1FE,metaSPAdes,2288578,52594,75,99.37908497,0.294117647,0.0227984,3677
CM_madagascar__A08_01_1FE__bin.38,CM_madagascar,A08_01_1FE,metaSPAdes,5306470,5217,1220,82.58338968,1.077586207,0.4251267,4004
CM_madagascar__A08_01_1FE__bin.4,CM_madagascar,A08_01_1FE,metaSPAdes,1496963,5055,343,65.29780564,4.482758621,1.7742169,15095
CM_madagascar__A08_01_1FE__bin.40,CM_madagascar,A08_01_1FE,metaSPAdes,4988607,20679,373,94.56521739,2.252252252,0.0446443,9205
CM_madagascar__A08_01_1FE__bin.41,CM_madagascar,A08_01_1FE,metaSPAdes,3348103,29828,186,93.65079365,2.063492063,0.1826659,2230
CM_madagascar__A08_01_1FE__bin.43,CM_madagascar,A08_01_1FE,metaSPAdes,1712003,5087,389,52.5862069,0,0.3171682,1666
CM_madagascar__A08_01_1FE__bin.44,CM_madagascar,A08_01_1FE,metaSPAdes,2192184,70382,52,89.18918919,0.675675676,0.00791,17348
CM_madagascar__A08_01_1FE__bin.47,CM_madagascar,A08_01_1FE,metaSPAdes,2946661,18791,250,90.96825397,3.571428571,0.2977559,2240
CM_madagascar__A08_01_1FE__bin.48,CM_madagascar,A08_01_1FE,metaSPAdes,1536734,48948,60,85.45861298,0.167785235,0.0149139,13965
CM_madagascar__A08_01_1FE__bin.50,CM_madagascar,A08_01_1FE,metaSPAdes,1399570,4735,351,74.95525727,2.516778523,0.190489,14905
CM_madagascar__A08_01_1FE__bin.55,CM_madagascar,A08_01_1FE,metaSPAdes,2034492,8112,309,94.46202532,0.632911392,0.0383003,5809
CM_madagascar__A08_01_1FE__bin.57,CM_madagascar,A08_01_1FE,metaSPAdes,1469196,6271,302,72.84548505,2.93064877,0.3493019,15355
CM_madagascar__A08_01_1FE__bin.59,CM_madagascar,A08_01_1FE,metaSPAdes,1191748,2960,419,71.18761741,4.849914237,0.148264,6778
CM_madagascar__A08_01_1FE__bin.60,CM_madagascar,A08_01_1FE,metaSPAdes,2023506,6399,403,92.92270531,0.289855072,0.2403958,4933
CM_madagascar__A08_01_1FE__bin.61,CM_madagascar,A08_01_1FE,metaSPAdes,2275115,84333,43,97.27348993,0,0.00611,4365
CM_madagascar__A08_01_1FE__bin.63,CM_madagascar,A08_01_1FE,metaSPAdes,2770052,5569,603,85.33220721,4.262387387,0.5767011,1644
CM_madagascar__A08_01_1FE__bin.64,CM_madagascar,A08_01_1FE,metaSPAdes,2696822,103725,41,60.6271777,0.104529617,0.000962,10068
CM_madagascar__A08_01_1FE__bin.65,CM_madagascar,A08_01_1FE,metaSPAdes,1548830,4337,414,51.88087774,0.78369906,0.2482743,2215
CM_madagascar__A08_01_1FE__bin.66,CM_madagascar,A08_01_1FE,metaSPAdes,2148072,30184,122,96.21863799,0.537634409,0.0244107,1333
CM_madagascar__A08_01_1FE__bin.69,CM_madagascar,A08_01_1FE,metaSPAdes,2092742,62509,58,93.93875839,1.342281879,0.0368941,14306
CM_madagascar__A08_01_1FE__bin.70,CM_madagascar,A08_01_1FE,metaSPAdes,1816364,106031,41,92.17002237,0.67114094,0.0110083,14238
CM_madagascar__A08_01_1FE__bin.71,CM_madagascar,A08_01_1FE,metaSPAdes,1572467,14543,167,89.4295302,0.559284116,0.6622662,15249
CM_madagascar__A08_01_1FE__bin.72,CM_madagascar,A08_01_1FE,metaSPAdes,1422937,3561,441,64.13210445,3.897849462,1.1123749,14492
CM_madagascar__A08_01_1FE__bin.73,CM_madagascar,A08_01_1FE,metaSPAdes,912893,8028,153,81.03448276,0,0.00122,14075
CM_madagascar__A09_01_1FE__bin.1,CM_madagascar,A09_01_1FE,metaSPAdes,1726861,9955,270,71.55172414,0,0.02009,9273
CM_madagascar__A09_01_1FE__bin.10,CM_madagascar,A09_01_1FE,metaSPAdes,2446148,3226,800,56.18530021,1.690821256,0.2076383,4950
CM_madagascar__A09_01_1FE__bin.11,CM_madagascar,A09_01_1FE,metaSPAdes,4503427,15916,418,60.5015674,1.724137931,0.2452436,10139
CM_madagascar__A09_01_1FE__bin.12,CM_madagascar,A09_01_1FE,metaSPAdes,1089473,3189,355,56.3909312,0.632911392,0.1040609,5809
CM_madagascar__A09_01_1FE__bin.14,CM_madagascar,A09_01_1FE,metaSPAdes,2391579,28905,146,89.46673366,1.530612245,0.1635467,15299
CM_madagascar__A09_01_1FE__bin.15,CM_madagascar,A09_01_1FE,metaSPAdes,2236417,32026,104,98.38709677,2.096774194,0.1445607,14427
CM_madagascar__A09_01_1FE__bin.16,CM_madagascar,A09_01_1FE,metaSPAdes,2465595,35371,113,96.59863946,1.020408163,0.0733793,15285
CM_madagascar__A09_01_1FE__bin.18,CM_madagascar,A09_01_1FE,metaSPAdes,4663369,100573,79,99.27722162,0.672123016,0.00621,10068
CM_madagascar__A09_01_1FE__bin.20,CM_madagascar,A09_01_1FE,metaSPAdes,2451235,20231,191,94.90911633,1.342281879,0.0532939,5075
CM_madagascar__A09_01_1FE__bin.23,CM_madagascar,A09_01_1FE,metaSPAdes,1879005,20612,139,89.74358974,0.854700855,0.0323107,8653
CM_madagascar__A09_01_1FE__bin.24,CM_madagascar,A09_01_1FE,metaSPAdes,1789454,3581,547,69.18903803,1.175894855,0.3887555,5082
CM_madagascar__A09_01_1FE__bin.26,CM_madagascar,A09_01_1FE,metaSPAdes,1077530,3332,331,51.76454139,0,0.0558093,5115
CM_madagascar__A09_01_1FE__bin.3,CM_madagascar,A09_01_1FE,metaSPAdes,1014429,2602,401,62.98415493,0.044014085,0.2379216,6148
CM_madagascar__A09_01_1FE__bin.30,CM_madagascar,A09_01_1FE,metaSPAdes,2246133,7593,366,54.70219436,3.448275862,0.1475459,1676
CM_madagascar__A09_01_1FE__bin.5,CM_madagascar,A09_01_1FE,metaSPAdes,2545527,23378,154,96.97986577,0,0.0155599,5111
CM_madagascar__A09_01_1FE__bin.9,CM_madagascar,A09_01_1FE,metaSPAdes,2415175,119305,36,99.37908497,1.470588235,0.010053,3677
CM_madagascar__A09_02_1FE__bin.1,CM_madagascar,A09_02_1FE,metaSPAdes,1812050,4919,423,83.87863535,1.029082774,0.1684811,4425
CM_madagascar__A09_02_1FE__bin.13,CM_madagascar,A09_02_1FE,metaSPAdes,1954713,8698,283,81.8866171,0,0.0242617,1475
CM_madagascar__A09_02_1FE__bin.14,CM_madagascar,A09_02_1FE,metaSPAdes,2178849,4817,533,73.62041467,3.50877193,0.5018723,6796
CM_madagascar__A09_02_1FE__bin.16,CM_madagascar,A09_02_1FE,metaSPAdes,2421595,140063,41,99.37908497,0.294117647,0.0125317,3677
CM_madagascar__A09_02_1FE__bin.17,CM_madagascar,A09_02_1FE,metaSPAdes,4850452,269125,34,98.95312005,0.081663763,0.00546,10068
CM_madagascar__A09_02_1FE__bin.18,CM_madagascar,A09_02_1FE,metaSPAdes,1442841,40357,57,98.87640449,1.123595506,0.000944,1024
CM_madagascar__A09_02_1FE__bin.19,CM_madagascar,A09_02_1FE,metaSPAdes,1433288,73902,39,68.29545455,0.454545455,0.1429842,17244
CM_madagascar__A09_02_1FE__bin.2,CM_madagascar,A09_02_1FE,metaSPAdes,2588502,5016,598,84.42780338,3.360215054,0.6587951,14352
CM_madagascar__A09_02_1FE__bin.21,CM_madagascar,A09_02_1FE,metaSPAdes,2110152,15868,201,84.72387829,0.886824324,0.0876438,1701
CM_madagascar__A09_02_1FE__bin.22,CM_madagascar,A09_02_1FE,metaSPAdes,1523219,6055,305,70.02237136,3.355704698,0.0260134,6328
CM_madagascar__A09_02_1FE__bin.24,CM_madagascar,A09_02_1FE,metaSPAdes,999733,158439,13,60.34482759,0,0.0031,3926
CM_madagascar__A09_02_1FE__bin.26,CM_madagascar,A09_02_1FE,metaSPAdes,1325456,4744,310,90.00615006,0.073800738,0.00736,19434
CM_madagascar__A09_02_1FE__bin.29,CM_madagascar,A09_02_1FE,metaSPAdes,2155262,32189,120,60.34482759,1.724137931,0.153669,17234
CM_madagascar__A09_02_1FE__bin.30,CM_madagascar,A09_02_1FE,metaSPAdes,1485595,7128,267,81.3844086,0.806451613,0.0387073,13999
CM_madagascar__A09_02_1FE__bin.33,CM_madagascar,A09_02_1FE,metaSPAdes,2192135,9117,317,87.0246085,1.565995526,0.0175381,5121
CM_madagascar__A09_02_1FE__bin.38,CM_madagascar,A09_02_1FE,metaSPAdes,2722312,89849,47,98.65771812,0.146812081,0.0132296,5111
CM_madagascar__A09_02_1FE__bin.40,CM_madagascar,A09_02_1FE,metaSPAdes,2776652,91880,61,99.62546816,0.74906367,0.0067,7970
CM_madagascar__A09_02_1FE__bin.43,CM_madagascar,A09_02_1FE,metaSPAdes,1835365,12735,199,97.62652705,0,0.0182104,7061
CM_madagascar__A09_02_1FE__bin.47,CM_madagascar,A09_02_1FE,metaSPAdes,1790000,12858,218,60.55903866,3.448275862,0.3556184,14397
CM_madagascar__A09_02_1FE__bin.5,CM_madagascar,A09_02_1FE,metaSPAdes,3270667,42122,134,92.33333333,1.349206349,0.1081204,2230
CM_madagascar__A09_02_1FE__bin.52,CM_madagascar,A09_02_1FE,metaSPAdes,1939718,48713,74,97.40957967,1.728110599,0.2664003,14370
CM_madagascar__A09_02_1FE__bin.53,CM_madagascar,A09_02_1FE,metaSPAdes,1830013,32756,92,99.62546816,0.374531835,0.0245903,8023
CM_madagascar__A09_02_1FE__bin.54,CM_madagascar,A09_02_1FE,metaSPAdes,1390065,197655,12,77.41935484,0,0.0127212,14788
CM_madagascar__A09_02_1FE__bin.56,CM_madagascar,A09_02_1FE,metaSPAdes,2460414,6471,487,77.84090909,2.678571429,0.5010065,15286
CM_madagascar__A09_02_1FE__bin.60,CM_madagascar,A09_02_1FE,metaSPAdes,1333093,3856,380,69.9897643,2.948187549,0.6044339,8027
CM_madagascar__A09_02_1FE__bin.63,CM_madagascar,A09_02_1FE,metaSPAdes,1135240,4662,278,75.2096519,0.685654008,0.0443813,4100
CM_madagascar__A10_01_1FE__bin.10,CM_madagascar,A10_01_1FE,metaSPAdes,1447534,33867,69,92.47311828,0,0.00549,9324
CM_madagascar__A10_01_1FE__bin.14,CM_madagascar,A10_01_1FE,metaSPAdes,1489774,3445,471,68.30291552,3.098484848,0.6438842,9718
CM_madagascar__A10_01_1FE__bin.15,CM_madagascar,A10_01_1FE,metaSPAdes,2346259,95839,46,98.23529412,0.294117647,0.0161625,3677
